table,variable,description,type,example,references_table
ownership,facility_id,"ID that uniquely identifies each mine, processing facility, and sub-site",text,WUD00001.00,facilities
ownership,owners,"Owners of the facility, with their ownership in brackets",text,"African Rainbow Minerals Ltd. (50%), Assore Ltd. (50%)",
ownership,operators,Operators of the facility,text,Assmang Proprietary Ltd.,
ownership,year,Year for which the ownership shares and operator applies,numeric,2015,
ownership,source_id,ID that uniquely identifies the sources this data point is based on,text,,source_ids
ownership,comment,Comment,text,sold on 31 July 2013,
material_ids,material_id,ID that uniquely identifies materials,text,O.Al,
material_ids,material_name,Name of the material,text,Bauxite,
material_ids,material_category,"Category of the material. Categories: mineral, commodity, other_product, ff_mineral, ff_commodity",text,mineral,
material_ids,material_category_2,"Secondary category of the material, more detailed that material_category",text,metal ore,
material_ids,material_id_agg,ID that uniquely identifies a bundle of materials,text,Me.pgm,
material_ids,material_name_agg,Name of the bundle of materials,text,PGM,
material_ids,materials_contained,"Specifies the materials contained in the bundle of materials. Only applicable, if material_category is „aggregate“",text,Me.Ir; Me.Os; Me.Pd; Me.Pt; Me.Rh; Me.Ru,
source_ids,source_id,Unique ID for each source,text,det_1001,
source_ids,sources,Names of the source publications or websites,text,Anglo American plc (2015) Annual Report 2014,
source_ids,source_urls,URLs of the source publications or websites,text,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2015/aa-ar14-interactive-final.pdf,
